gen,max_sectors_kb,nr_requests,read_ahead_kb,nomerges,scheduler,rq_affinity,read_throughput,read_latency,is_pareto
8.0,42,54,1,2,0,1,914249.0,659456.0,0.0
8.0,2179,1,0,2,0,0,965611.0,700416.0,0.0
8.0,1480,40,3,0,0,1,888143.0,643072.0,0.0
8.0,34,27,0,0,0,1,856173.0,561152.0,0.0
8.0,3757,1,0,2,0,0,986373.0,929792.0,0.0
8.0,3281,56,0,0,0,1,950016.0,749568.0,0.0
8.0,1828,16,0,0,0,1,904264.0,684032.0,0.0
8.0,1602,70,0,2,0,0,885187.0,643072.0,0.0
8.0,3535,73,0,1,0,1,903025.0,659456.0,0.0
8.0,3177,6,0,0,0,1,878247.0,602112.0,0.0
9.0,1579,76,0,1,0,0,878517.0,522240.0,1.0
9.0,3658,79,0,1,0,0,1025030.0,544768.0,1.0
9.0,14,27,0,2,0,0,1056347.0,610304.0,1.0
9.0,3160,27,0,0,0,0,862663.0,481280.0,1.0
9.0,3281,56,0,0,0,1,1038710.0,593920.0,1.0
9.0,1169,76,0,1,0,0,873568.0,536576.0,0.0
9.0,2596,5,0,0,0,2,879126.0,552960.0,0.0
9.0,34,27,0,0,0,1,985687.0,561152.0,0.0
9.0,3641,73,0,1,0,0,1038891.0,774144.0,0.0
9.0,3658,76,0,1,0,0,1040911.0,954368.0,0.0
9.0,3036,9,3,2,0,0,765327.0,501760.0,0.0
9.0,3177,6,0,2,0,0,860182.0,528384.0,0.0
9.0,3239,69,0,0,0,1,1035522.0,626688.0,0.0
9.0,1169,76,0,1,0,0,995984.0,610304.0,0.0
9.0,1407,1,0,0,0,2,869708.0,544768.0,0.0
9.0,111,11,0,1,0,0,862054.0,536576.0,0.0
9.0,3241,73,0,0,0,1,874434.0,552960.0,0.0
9.0,1646,15,0,0,0,0,980720.0,561152.0,0.0
9.0,2798,4,0,2,0,2,796872.0,528384.0,0.0
9.0,1646,78,0,0,0,0,1021558.0,643072.0,0.0
9.0,3659,96,0,1,0,0,1020024.0,626688.0,0.0
9.0,9,78,0,2,0,0,1031766.0,708608.0,0.0
9.0,3658,71,0,1,0,0,1034719.0,757760.0,0.0
9.0,3757,1,0,2,0,0,872569.0,552960.0,0.0
9.0,3757,1,0,0,0,0,877324.0,561152.0,0.0
9.0,1475,61,0,0,0,1,921554.0,569344.0,0.0
9.0,2906,14,5,1,0,1,742959.0,528384.0,0.0
9.0,3241,73,0,0,0,1,1016929.0,626688.0,0.0
9.0,3699,73,0,0,0,0,1031913.0,774144.0,0.0
9.0,3188,1,0,2,0,0,872142.0,552960.0,0.0
9.0,19,27,0,0,0,0,908129.0,585728.0,0.0
9.0,3036,9,3,2,0,0,902603.0,569344.0,0.0
9.0,3160,27,0,2,0,0,1009903.0,700416.0,0.0
9.0,3659,96,0,1,0,0,1003641.0,643072.0,0.0
9.0,3641,73,0,1,0,0,1027737.0,921600.0,0.0
9.0,1614,78,0,1,0,1,815436.0,552960.0,0.0
9.0,1407,1,0,2,0,2,869664.0,561152.0,0.0
9.0,3641,4,0,2,0,2,880671.0,585728.0,0.0
9.0,3757,1,0,2,0,0,897952.0,626688.0,0.0
9.0,3093,9,3,2,0,0,895349.0,602112.0,0.0
9.0,1828,16,0,2,0,1,1006740.0,765952.0,0.0
9.0,1828,16,0,2,0,1,981360.0,643072.0,0.0
9.0,3658,76,0,1,0,0,1022020.0,1171456.0,0.0
9.0,1646,8,0,0,0,0,868373.0,561152.0,0.0
9.0,1479,78,0,2,0,1,880550.0,593920.0,0.0
9.0,2784,4,0,2,0,2,879982.0,585728.0,0.0
9.0,2768,3,0,2,0,0,891600.0,602112.0,0.0
9.0,3757,1,0,2,0,0,986373.0,929792.0,0.0
9.0,2179,1,0,2,0,0,965611.0,700416.0,0.0
9.0,3288,76,0,0,0,1,936652.0,651264.0,0.0
